Date,Open,High,Low,Close,Adj Close,Volume,MA20,MA50,Returns,RSI,MACD,Signal
2008-03-19,14.875,17.25,13.75,14.125,12.579995155334473,708486000,,,,,,
2008-03-20,14.600000381469728,16.25,14.375,16.087499618530273,14.327834129333496,198985200,,,0.13893802609063877,,,
2008-03-24,16.809999465942383,16.924999237060547,14.75,14.932499885559082,13.299166679382324,149566400,,,-0.0717948568987572,,,
2008-03-25,15.145000457763672,16.0625,14.954999923706056,15.8125,14.08290958404541,87092000,,,0.0589318681523614,,,
2008-03-26,15.682499885559082,16.1200008392334,15.392499923706056,15.989999771118164,14.240999221801758,43111600,,,0.011225281967947032,,,
2008-03-27,16.012500762939453,16.184999465942383,15.662500381469728,15.727499961853027,14.007211685180664,39829600,,,-0.016416498625551945,,,
2008-03-28,15.842499732971191,15.859999656677246,15.539999961853027,15.6899995803833,13.973811149597168,24675200,,,-0.0023843828682679202,,,
2008-03-31,15.649999618530272,15.869999885559082,15.512499809265137,15.59000015258789,13.88475227355957,22157200,,,-0.006373449998076208,,,
2008-04-01,15.765000343322754,15.920000076293944,15.077500343322754,15.40250015258789,13.717756271362305,60410800,,,-0.012026940228661576,,,
2008-04-02,15.43000030517578,15.579999923706056,15.125,15.579999923706056,13.875843048095703,43836400,,,0.011524088255784992,,,
2008-04-03,15.487500190734863,16.572500228881836,15.454999923706056,16.375,14.58388328552246,100868000,,,0.05102696278478769,,,
2008-04-04,16.225000381469727,16.329999923706055,15.9375,16.1200008392334,14.356776237487791,36394400,,,-0.015572467833074866,,,
2008-04-07,16.274999618530273,16.450000762939453,16.0049991607666,16.260000228881836,14.481464385986328,28301600,,,0.008684825208426838,,,
2008-04-08,16.225000381469727,17.059999465942383,16.202499389648438,17.022499084472656,15.160557746887209,53925600,,,0.046894147900221395,,,
2008-04-09,17.110000610351562,17.18000030517578,16.40250015258789,16.447500228881836,14.64845371246338,48324400,,,-0.03377875673468622,65.55073180425212,,
2008-04-10,16.540000915527344,16.6825008392334,16.27750015258789,16.52750015258789,14.719707489013672,22372000,,,0.004863956381990109,65.94364577582326,,
2008-04-11,16.3125,16.6924991607666,16.3125,16.52750015258789,14.719707489013672,26421600,,,0.0,65.94364577582326,,
